"name","artist","bpm","key","genre"
"16/02/2019","","","",""
"Prayer (Original Mix)","Massivedrum","126","F#m","Funky/Groove/Jackin' House"
"Billy Drumz (Original Mix)","Luca Debonaire","128","F#m","Funky/Groove/Jackin' House"
"Fresh Prince (Vibe Killers Remix)","Javi Bora, Iban Montoro & Jazzman Wax","128","F#m","House"
"Colours (Fm Radio Gods Remix)","Luke Chable","128","Bm","House"
"Can't Hold Us (Crazibiza vs. Wawa Remix) (Extended)","Macklemore & Ryan Lewis ","128","Em","House"
"Hands Up","My State","128","Am","House"
"Alright (We'll Be)","Detroit Swindle","128","Dm","House"
"Sugar Is Sweeter (Armand Van Helden’s Drum ‘n’ Bass Mix)","CJ Bolland","128","Gm","House"
"Disco love disco","EM PI","128","Cm","House"
"Right Here (Original Mix)","The Cube Guys","126","Cm","Funky/Groove/Jackin' House"
"Sax Delivery","The Cube Guys","126","Fm","Funky/Groove/Jackin' House"
"Feel Good (Original Mix)","Edwin Geninatti","127","Fm","House"
"Venus (Original Mix)","Dario Nunez & Robert Mendoza","125","Bbm","Funky/Groove/Jackin' House"
"I Got a Feeling (Club Mix)","Milk & Sugar","125","Ebm","Funky/Groove/Jackin' House"
"Teardrops (Original Mix)","Luca Debonaire","125","G#m","Funky/Groove/Jackin' House"
"Big Drop (Original Mix)","Richard Grey, Lissat","125","Ebm","Funky/Groove/Jackin' House"
"Mr. Right Now (Original Mix)","Lissat & Superdope feat. Veronica Lee ","124","A","Funky/Groove/Jackin' House"
